"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Peizerweg";"BU00140705";".";".";".";".";".";".";".";"."
"Woonwagenkamp";"BU00140709";"3650";".";"2750";"4000";".";".";"3500";"."
"Wijk 08 Hoogkerk";"WK001408";"3200";"2000";"3100";"3200";"3700";"4050";"2700";"3500"
"Hoogkerk-Dorp";"BU00140800";"2800";"2050";"2550";"2900";"2900";"3650";"2500";"3350"
"Hoogkerk-Zuid";"BU00140801";"2750";"1900";"2850";"3000";"3400";"3500";"2550";"3000"
"Vierverlaten";"BU00140802";"3900";".";".";"3250";"3150";"4700";"3200";"4300"
"Leegkerk";"BU00140803";"3750";".";"3450";"3450";"3950";"4200";"3550";"3750"
"Dorkwerd";"BU00140804";"3400";"2000";"3300";"3400";"4100";"4350";"3400";"3650"
"Bangeweer";"BU00140805";"3300";"1700";"3300";"3600";"3750";"3600";"2500";"3550"
"De Held";"BU00140806";"3450";"2400";"3600";"3850";"3950";"4350";"2650";"3650"
"Zuidwending";"BU00140807";"4300";".";".";".";".";"4600";".";"4000"
"Wijk 09 Noorddijk";"WK001409";"2900";"2150";"3100";"3200";"3450";"3950";"2450";"3250"
"Oosterhoogebrug";"BU00140900";"3050";"2350";"3000";"2900";"3600";"3600";"2650";"3300"
"Lewenborg-Zuid";"BU00140901";"2850";"2300";"3100";"3150";"3150";".";"2750";"2950"
"Lewenborg-Noord";"BU00140902";"2700";"2100";"3150";"3300";".";".";"2400";"3250"
"Lewenborg-West";"BU00140903";"3150";"2950";"3250";"3200";".";".";"2700";"3300"
"Bovenstreek";"BU00140904";"3950";".";"3850";"3750";"3850";"4200";"3800";"3950"
"Beijum-Oost";"BU00140905";"2650";"2050";"3050";"3250";"3000";".";"2350";"3250"
"Beijum-West";"BU00140906";"2700";"2050";"2900";"3000";"3150";"4250";"2300";"2950"
"Ulgersmabuurt";"BU00140907";"3500";"2150";"3350";"3600";"3600";"4250";"2950";"3600"
"Ruischerbrug";"BU00140908";"3050";"1800";"2900";"2950";"3050";"3800";"2450";"3200"
"Grootegast";"GM0015";"3400";"1850";"2400";"2600";"3400";"3850";"2450";"3750"
"Wijk 00 Grootegast";"WK001500";"3300";"1850";"2400";"2650";"3400";"3900";"2350";"3800"
"Grootegast";"BU00150000";"3100";"1850";"2400";"2600";"3450";"3800";"2250";"3650"
"Doezum";"BU00150001";"3350";".";"2400";"2700";"3500";"3700";"2500";"3700"
"Sebaldeburen";"BU00150002";"3450";".";"2200";"2550";"3150";"3750";"3100";"3550"
"Het Peebos";"BU00150006";"4250";".";".";".";".";"4250";"3850";"4350"
"Verspr.h. ten zuiden van Sebaldeburen";"BU00150007";"3700";".";".";".";".";"3700";"2950";"4000"
"Verspr.h. ten zuiden van Grootegast";"BU00150008";"4400";".";".";".";".";"4400";"3150";"4500"
"Overige verspreide huizen";"BU00150009";"4500";".";".";".";".";"4600";".";"4450"
"Wijk 01 Lutjegast";"WK001501";"3650";".";"2550";"2300";"3350";"4000";"2750";"3950"
"Lutjegast";"BU00150100";"3450";".";"2550";"2300";"3250";"3850";"2650";"3700"
"Verspreide huizen Lutjegast";"BU00150109";"4300";".";".";".";".";"4300";"3350";"4450"
"Wijk 02 Opende";"WK001502";"3500";"1800";"2450";"2650";"3300";"3900";"2650";"3750"
"Opende-West";"BU00150200";"3100";".";"2350";"2450";"3250";"3550";"2300";"3500"
"Opende-Oost";"BU00150201";"3700";".";".";".";"2800";"3850";"3250";"3700"
"Kornhorn";"BU00150202";"3250";".";"2450";"2950";"2950";"3600";"2700";"3450"
"Verspreide huizen ten zuiden van Opende";"BU00150209";"4250";".";".";".";"3750";"4300";"3800";"4250"
"Wijk 03 Oldekerk";"WK001503";"3300";"1900";"2300";"2600";"3450";"3700";"2500";"3600"
"Niekerk";"BU00150300";"3100";"2000";"2200";"2550";"3500";"3450";"2350";"3500"
"Oldekerk";"BU00150301";"3350";"1700";"2350";"2600";"3350";"3800";"2500";"3500"
"Verspreide huizen Oldekerk";"BU00150309";"4000";".";".";".";"3600";"4100";"4200";"4000"
"Haren";"GM0017";"3150";"2000";"2800";"2850";"3450";"4550";"2400";"3500"
"Wijk 00 Centrum";"WK001700";"3050";"1950";"2800";"2900";"3450";"4500";"2350";"3450"
"Haren";"BU00170000";"2950";"2000";"2700";"2850";"3400";"4400";"2200";"3350"
"Oosterhaar";"BU00170001";"2950";"1650";"2850";"2900";"3400";"4250";"2350";"3350"
"Voorveld";"BU00170002";"5100";".";".";".";"4650";"5150";"4150";"5250"
"Harenermolen";"BU00170003";"4050";".";"3450";"2650";"3500";"4750";"3800";"4000"
"Glimmen";"BU00170004";"3900";".";"3050";"3000";"3400";"4650";"3500";"4050"
"Hemmen";"BU00170005";"3350";"1900";"3250";"3300";"4250";"5150";"2250";"4400"
"Wijk 01 Land";"WK001701";"4100";"2850";"3050";"2800";"3400";"4700";"3500";"4250"
"Noordlaren";"BU00170100";"3850";".";"2700";".";"3100";"4550";"3250";"4000"
"Onnen";"BU00170101";"3850";"2250";"3000";"2700";"3500";"4850";"3100";"4200"
"Paterswolde (gedeeltelijk)";"BU00170102";"3900";"3100";".";".";".";"5150";"5100";"3600"
"Essen";"BU00170103";"4400";".";".";".";"2800";"5950";".";"4500"
"Verspr.h. ten W. van Noord-Willemskanaal";"BU00170106";"4150";".";".";".";"4250";"4100";"4450";"4050"
"Verspreide huizen op de Hondsrug";"BU00170107";"4150";".";".";".";"3650";"4350";"3950";"4300"
