"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Wijk 02 Geervliet";"WK056802";"1800";"33.1";"26.8";"36";"26";"60";"29";"27";"6";"5"
"Geervliet";"BU05680200";"300";"37.5";"29.9";"33";"32";"60";"35";"30";"11";"8"
"Geervliet-Noordoost";"BU05680201";"1000";"32.0";"25.7";"35";"25";"58";"27";"25";"5";"4"
"Simonshaven";"BU05680202";"300";"29.6";"25.4";"39";"21";"63";"38";"18";"8";"7"
"Poldergebied Geervliet";"BU05680203";"200";"38.2";"30.6";"37";"30";"68";".";".";".";"."
"Wijk 03 Zuidland";"WK056803";"4000";"34.1";"26.3";"36";"28";"63";"27";"30";"4";"3"
"Zuidland";"BU05680300";"1700";"31.9";"25.7";"39";"24";"56";"35";"24";"4";"3"
"De Kerckhoek";"BU05680301";"1100";"33.8";"26.2";"35";"28";"62";"21";"31";"3";"3"
"Poldergebied Zuidland";"BU05680302";"1200";"37.3";"27.3";"33";"34";"72";"21";"40";"5";"3"
"Wijk 04 Oudenhoorn";"WK056804";"900";"33.0";"26.0";"37";"25";"56";"32";"26";"8";"6"
"Oudenhoorn";"BU05680400";"600";"31.0";"24.8";"37";"23";"55";"34";"22";"8";"6"
"Polder Nieuwenhoorn";"BU05680401";"100";".";"25.6";".";".";".";".";".";".";"."
"Polder Oudenhoorn";"BU05680402";"200";"38.1";"29.6";"39";"29";"62";"27";"35";"8";"6"
"Nieuwkoop";"GM0569";"20600";"31.0";"24.2";"38";"22";"63";"28";"28";"5";"4"
"Wijk 00";"WK056900";"8400";"32.3";"24.8";"37";"24";"61";"28";"29";"5";"4"
"Nieuwkoop";"BU05690000";"1100";"41.3";"34.1";"36";"32";"56";"26";"41";"6";"4"
"Noorden (gedeeltelijk)";"BU05690001";"600";"33.7";"28.4";"39";"26";"57";"33";"33";"5";"4"
"Nieuwveenseweg";"BU05690002";"100";".";"19.5";".";".";".";".";".";".";"."
"Uitbreiding dorpskern Nieuwkoop";"BU05690003";"5200";"30.4";"22.9";"37";"22";"62";"28";"24";"5";"5"
"Achttienhoven";"BU05690004";"100";".";"30.0";".";".";".";".";".";".";"."
"Uitbreiding dorpskern Noorden";"BU05690005";"700";"28.0";"21.4";"37";"20";"63";"24";"25";"5";"3"
"Woerdense Verlaat";"BU05690006";"500";"33.5";"25.7";"38";"25";"65";"26";"38";"5";"5"
"Verspreide huizen in het Noorden";"BU05690008";"100";"43.7";"27.5";"24";"38";"80";".";".";".";"."
"Verspr.h. en Nieuwkoop Plassengebied";"BU05690009";"100";".";"27.2";".";".";".";".";".";".";"."
"Wijk 01 Nieuwveen";"WK056901";"2700";"29.3";"23.1";"38";"20";"67";"27";"30";"6";"4"
"Nieuwveen";"BU05690100";"700";"30.7";"25.3";"40";"24";"64";"27";"33";"7";"7"
"Schoterveld";"BU05690101";"1400";"28.3";"22.5";"36";"18";"68";"30";"26";"4";"3"
"Vrouwenakker";"BU05690104";"200";"28.4";"21.9";"42";"20";"64";"28";"35";"7";"5"
"Verspr.h. in het Oosten en Zuiden";"BU05690108";"200";"34.2";"24.1";"33";"29";"72";"19";"34";"7";"6"
"Verspreide huizen in het Noorden";"BU05690109";"200";"27.0";"20.3";"43";"16";"65";"24";"35";"6";"5"
"Wijk 02 Zevenhoven";"WK056902";"2500";"30.3";"24.1";"35";"22";"64";"28";"28";"6";"5"
"Zevenhoven";"BU05690200";"1700";"29.9";"23.3";"36";"21";"63";"27";"27";"5";"4"
"Noordse Dorp";"BU05690201";"0";".";".";".";".";".";".";".";".";"."
"Recreatiegebied";"BU05690202";"300";"31.0";"26.8";"33";"23";"65";"38";"18";"9";"8"
"Noordse Buurt";"BU05690203";"100";"25.4";"21.1";"45";"21";"68";".";".";".";"."
"Verspreide huizen in het Westen";"BU05690208";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in het Oosten";"BU05690209";"300";"34.4";"27.7";"30";"27";"67";"21";"45";"8";"7"
"Wijk 03 Ter Aar";"WK056903";"6900";"30.4";"24.0";"40";"21";"63";"29";"28";"5";"4"
"Ter Aar (buitengebied)";"BU05690300";"400";"32.6";"25.3";"39";"25";"65";"30";"33";"7";"6"
"Langeraar";"BU05690301";"600";"35.5";"28.4";"41";"29";"61";"31";"34";"4";"4"
"Papenveer";"BU05690302";"900";"32.5";"24.9";"44";"22";"62";"29";"32";"6";"5"
"Korteraar";"BU05690303";"500";"33.4";"28.4";"42";"26";"60";"18";"40";"2";"2"
"Ter Aar-Centrum (voorheen Aardam)";"BU05690305";"3200";"28.7";"22.6";"39";"20";"62";"29";"25";"6";"5"
"Langeraar-Nieuwbouw";"BU05690306";"1300";"29.0";"22.9";"38";"19";"66";"28";"24";"3";"3"
"Verspreide huizen Ter Aar";"BU05690309";"100";".";".";".";".";".";".";".";".";"."
"Noordwijk";"GM0575";"19600";"33.8";"26.9";"36";"24";"62";"35";"25";"8";"6"
"Wijk 00 Noordwijk-Binnen";"WK057500";"13100";"32.0";"25.3";"35";"23";"63";"33";"25";"7";"5"
"Dorpskern";"BU05750000";"6000";"34.8";"26.9";"34";"25";"65";"34";"26";"7";"5"
"Beeklaan-kwartier";"BU05750001";"3900";"30.3";"24.5";"36";"22";"66";"29";"28";"6";"4"
"Boerenburg en Grashoek";"BU05750002";"2800";"29.0";"23.3";"37";"19";"56";"33";"21";"8";"7"
"Estec";"BU05750004";"0";".";".";".";".";".";".";".";".";"."
"Dr. Mr. W. van den Berghstichting";"BU05750005";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Zuiden en Oosten";"BU05750009";"300";"29.0";"23.2";"45";"19";"59";"31";"31";"11";"7"
"Wijk 01 Noordwijk Aan Zee";"WK057501";"6600";"37.3";"30.1";"37";"25";"59";"40";"25";"10";"8"
"Dorpskern";"BU05750100";"2500";"33.3";"27.2";"35";"24";"65";"43";"21";"10";"8"
"Villawijk-Zuid";"BU05750101";"1100";"66.4";"51.6";"32";"43";"52";"30";"44";"13";"10"
"De Noord";"BU05750102";"2500";"29.7";"24.1";"41";"19";"55";"41";"21";"8";"7"
"Sancta Maria";"BU05750108";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Langeveld";"BU05750109";"400";"30.5";"24.0";"40";"20";"64";"43";"23";"16";"14"
"Noordwijkerhout";"GM0576";"12400";"29.2";"23.2";"40";"20";"62";"33";"23";"8";"6"
"Wijk 00";"WK057600";"12400";"29.2";"23.2";"40";"20";"62";"33";"23";"8";"6"
"Noordwijkerhout";"BU05760000";"9100";"29.5";"23.4";"39";"20";"62";"35";"22";"8";"6"
"Kleine Zilk";"BU05760001";"300";"28.0";"22.5";"41";"21";"67";"21";"39";"9";"6"
"Grote Zilk";"BU05760002";"1500";"26.4";"21.0";"43";"17";"61";"28";"21";"6";"5"
"Verspr.h. ten zuiden van de gemeente";"BU05760008";"400";"31.5";"26.1";"48";"22";"59";"29";"36";"13";"11"
"Verspreide huizen in het Centrum";"BU05760009";"1100";"30.0";"23.9";"40";"22";"62";"32";"29";"11";"9"
"Oegstgeest";"GM0579";"16600";"42.8";"32.2";"30";"35";"61";"28";"36";"6";"5"
"Wijk 00 Oegstgeest";"WK057900";"16600";"42.8";"32.2";"30";"35";"61";"28";"36";"6";"5"
"Rhijngeest";"BU05790001";"100";"66.7";"49.4";"23";"57";".";".";".";".";"."
"Rijnfront";"BU05790002";"600";"34.2";"25.3";"35";"27";"69";"41";"23";"5";"5"
"Buitengebied";"BU05790003";"0";".";".";".";".";".";".";".";".";"."
"Oranje Nassau";"BU05790011";"3000";"58.0";"41.9";"27";"50";"59";"16";"55";"5";"3"
"Oudenhof";"BU05790012";"1500";"52.8";"36.3";"26";"48";"58";"13";"54";"5";"3"
"Bloemenbuurt";"BU05790013";"2200";"30.6";"26.6";"31";"21";"60";"49";"9";"8";"7"
"Voscuyl";"BU05790014";"2200";"40.5";"31.0";"32";"33";"59";"27";"33";"5";"4"
"Buitenlust";"BU05790015";"500";"25.6";"19.8";"41";"12";"62";"50";"12";"14";"9"
"Haaswijk-West";"BU05790021";"1500";"34.9";"26.6";"32";"29";"57";"23";"34";"5";"4"
"Haaswijk-Oost";"BU05790022";"2300";"37.3";"28.8";"35";"30";"56";"28";"35";"6";"5"
"De Morsebel";"BU05790023";"1000";"40.1";"30.8";"32";"34";"62";"22";"39";"6";"4"
"Poelgeest";"BU05790024";"1700";"48.0";"32.9";"22";"44";"73";"19";"47";"6";"4"
"Oud-Beijerland";"GM0584";"17700";"33.0";"25.0";"36";"26";"61";"28";"28";"6";"5"
"Wijk 00";"WK058400";"17700";"33.0";"25.0";"36";"26";"61";"28";"28";"6";"5"
"Bedrijventerrein De Bosschen";"BU05840001";"100";".";"29.4";".";".";".";".";".";".";"."
"Oosterse Gorzenwijk";"BU05840002";"1400";"30.7";"23.7";"36";"25";"60";"32";"22";"5";"4"
"Centrum-Noord";"BU05840003";"500";"36.9";"28.5";"30";"32";"65";"30";"29";"6";"6"
"Croonenburghwijk";"BU05840004";"2400";"28.9";"22.6";"42";"19";"51";"37";"18";"8";"7"
"Centrum-Zuid";"BU05840005";"1200";"32.9";"25.5";"35";"24";"67";"41";"20";"8";"6"
"Zeeheldenwijk";"BU05840006";"1500";"31.0";"23.6";"39";"21";"56";"30";"23";"6";"5"
"Zuidwijk";"BU05840007";"2500";"30.0";"22.8";"40";"21";"55";"28";"27";"6";"6"
"Zoomwijck";"BU05840008";"3800";"33.1";"24.8";"35";"28";"63";"24";"30";"5";"4"
"Spuioeverwijk";"BU05840009";"1100";"34.6";"26.2";"36";"30";"64";"16";"44";"4";"3"
"Bedrijventerr. Langeweg, Rembrandtstraat";"BU05840010";"0";".";".";".";".";".";".";".";".";"."
"Poortwijk";"BU05840011";"2800";"39.6";"28.6";"29";"35";"69";"21";"40";"5";"3"
"Zinkweg buurtschap";"BU05840012";"300";"34.9";"28.6";"37";"28";"64";"16";"41";"5";"4"
"Landelijk gebied";"BU05840013";"100";"38.8";"29.3";"37";"33";"59";".";".";".";"."
"Binnenmaas";"GM0585";"22100";"33.2";"25.8";"36";"26";"62";"28";"27";"4";"4"
"Wijk 00 Heinenoord";"WK058500";"2800";"32.8";"25.8";"34";"26";"65";"28";"28";"5";"4"
"Heinenoord";"BU05850000";"500";"32.7";"26.6";"36";"23";"64";"37";"25";"7";"6"
"Goidschalxoord";"BU05850001";"200";"41.6";"31.5";"27";"43";"66";".";".";".";"."
"Blaak";"BU05850002";"500";"31.7";"24.7";"33";"23";"71";"22";"30";"6";"5"
"Uitbreiding Dorp Heinenoord";"BU05850003";"1400";"32.3";"25.1";"33";"26";"65";"28";"27";"4";"3"
"Uitbreiding Dorp na 1971";"BU05850004";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Heinenoord";"BU05850009";"200";"33.4";"27.5";"38";"25";"56";".";".";".";"."
"Wijk 01 Mijnsheerenland";"WK058501";"3300";"40.0";"30.9";"32";"33";"59";"23";"38";"5";"4"
"Mijnsheerenland";"BU05850100";"1300";"39.5";"31.0";"34";"32";"60";"30";"35";"6";"6"
"Westdijk";"BU05850101";"200";"35.5";"29.1";"31";"30";"62";"20";"34";".";"."
"Stougjesdijk (gedeeltelijk)";"BU05850102";"100";"39.4";"32.1";"35";"29";"64";".";".";".";"."
"Blaaksedijk (gedeeltelijk)";"BU05850103";"100";"37.7";"30.2";"32";"34";"61";".";".";".";"."
"Uitbreiding Dorp";"BU05850104";"1400";"40.0";"30.2";"31";"35";"58";"16";"41";"3";"3"
"Verspr.h. Westmaas-Nieuwlandse polder";"BU05850108";"100";".";"30.3";".";".";".";".";".";".";"."
"Verspreide huizen Moerkerken";"BU05850109";"100";".";"46.1";".";".";".";".";".";".";"."
"Wijk 02 Westmaas";"WK058502";"1600";"33.2";"26.1";"36";"25";"60";"27";"29";"5";"5"
"Westmaas";"BU05850200";"1400";"31.8";"25.0";"37";"24";"60";"29";"26";"5";"5"
"Greup";"BU05850201";"100";".";"23.6";".";".";".";".";".";".";"."
"Grote Riethure";"BU05850202";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen polder Munnikenland";"BU05850208";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in het Westen";"BU05850209";"100";".";".";".";".";".";".";".";".";"."
"Wijk 03 Maasdam";"WK058503";"2500";"35.5";"27.5";"35";"28";"62";"23";"31";"3";"3"
"Maasdam";"BU05850300";"400";"38.3";"28.7";"34";"31";"61";"19";"41";"6";"5"
"Cillaarshoek (gedeeltelijk)";"BU05850301";"100";".";".";".";".";".";".";".";".";"."
"Sint Anthoniepolder";"BU05850302";"100";".";"35.5";".";".";".";".";".";".";"."
"Maasdam nieuwbouw";"BU05850303";"1400";"32.1";"24.7";"36";"23";"62";"26";"24";"3";"3"
"Bungalow plan";"BU05850304";"200";"57.4";"47.7";"27";"48";"46";".";".";".";"."
"Bedrijfsterreinen";"BU05850307";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Maasdam";"BU05850309";"300";"34.2";"26.9";"32";"28";"65";"21";"34";"1";"1"
"Wijk 04 Puttershoek";"WK058504";"5200";"31.2";"24.3";"36";"24";"61";"29";"23";"4";"3"
"Bebouwde Kom, oud gedeelte";"BU05850400";"500";"34.5";"27.9";"33";"26";"62";"32";"29";"4";"3"
"Rustenburgstraat (gedeeltelijk)";"BU05850401";"0";".";".";".";".";".";".";".";".";"."
"Bebouwde Kom Plan Dorp";"BU05850402";"3100";"28.3";"22.6";"39";"19";"56";"35";"16";"5";"4"
"Bebouwde Kom Plan Oudeland";"BU05850403";"500";"32.5";"24.8";"34";"30";"72";"19";"29";"2";"2"
"Plan De Grienden";"BU05850405";"800";"38.6";"26.9";"28";"35";"71";"13";"40";"3";"2"
"Plan Zijdewinde";"BU05850406";"200";"30.7";"25.9";"38";"26";"53";"15";"27";"0";"1"
"Verspreide huizen in het Zuidoosten";"BU05850408";"0";".";".";".";".";".";".";".";".";"."
"Suikerfabriek en verspr.h. Noordwesten";"BU05850409";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 's-Gravendeel";"WK058505";"6600";"30.6";"23.6";"38";"23";"62";"31";"22";"5";"4"
"'s-Gravendeel";"BU05850500";"2600";"29.9";"23.3";"38";"21";"64";"34";"20";"4";"4"
"Boendersweg-Strijensedijk (gedeeltelijk)";"BU05850501";"200";"32.0";"25.9";"39";"23";"56";".";".";".";"."
"Nieuw Bonaventura";"BU05850502";"2600";"28.8";"22.0";"40";"21";"59";"30";"19";"5";"4"
"Schenkeldijk";"BU05850503";"400";"29.1";"22.6";"38";"21";"62";"29";"28";"5";"4"
"Mijlpolder";"BU05850504";"0";".";".";".";".";".";".";".";".";"."
"Groot en Klein Koninkrijk";"BU05850505";"0";".";".";".";".";".";".";".";".";"."
"Schuilingen";"BU05850506";"700";"38.0";"29.6";"34";"33";"65";"26";"34";"4";"3"
"Verspreide huizen 's-Gravendeel";"BU05850509";"200";"40.0";"31.2";"35";"32";"64";".";".";".";"."
"Korendijk";"GM0588";"8000";"32.0";"24.2";"37";"24";"62";"28";"28";"5";"4"
"Wijk 00 Nieuw-Beijerland";"WK058800";"2700";"32.4";"23.2";"37";"26";"62";"23";"31";"5";"3"
"Nieuw-Beijerland";"BU05880000";"2500";"32.0";"22.7";"37";"26";"62";"24";"30";"4";"3"
"Zuidzijde (gedeeltelijk)";"BU05880001";"100";"36.2";"29.1";"39";"28";"56";".";".";".";"."
"Verspreide huizen Nieuw-Beijerland";"BU05880009";"100";"36.9";"30.4";"26";"31";"80";".";".";".";"."
"Wijk 01 Piershil";"WK058801";"1200";"31.8";"24.3";"35";"25";"65";"28";"28";"4";"3"
"Piershil";"BU05880100";"1000";"31.2";"24.2";"36";"24";"65";"30";"25";"3";"3"
"Zwartsluisje (gedeeltelijk)";"BU05880103";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Piershil";"BU05880109";"100";"36.5";"24.2";"35";"31";"66";".";".";".";"."
"Wijk 02 Goudswaard";"WK058802";"1500";"30.3";"22.8";"39";"21";"60";"28";"25";"7";"6"
"Goudswaard";"BU05880200";"1100";"28.9";"21.5";"40";"18";"59";"32";"22";"8";"7"
"Nieuwendijk (gedeeltelijk)";"BU05880201";"100";"34.6";"26.6";"38";"31";"58";".";".";".";"."
"Oudendijk";"BU05880202";"100";".";".";".";".";".";".";".";".";"."
"Verspr.h. Eiland Tiengemeten (ged.)";"BU05880208";"0";".";".";".";".";".";".";".";".";"."
"Overige verspreide huizen Goudswaard";"BU05880209";"100";"35.3";"27.6";"35";"28";"68";".";".";".";"."
"Wijk 03 Zuid-Beijerland";"WK058803";"2600";"32.7";"26.1";"35";"25";"62";"31";"26";"4";"3"
"Zuid-Beijerland";"BU05880300";"2100";"31.5";"25.2";"37";"23";"62";"33";"23";"4";"3"
"Zwartsluisje (gedeeltelijk)";"BU05880301";"100";".";"26.0";".";".";".";".";".";".";"."
"Zuidzijde (gedeeltelijk)";"BU05880302";"0";".";".";".";".";".";".";".";".";"."
"Schenkeldijk";"BU05880303";"100";".";".";".";".";".";".";".";".";"."
"Nieuwendijk (gedeeltelijk)";"BU05880304";"100";"38.1";"32.4";"23";"36";"65";".";".";".";"."
"Verspr.h. Eiland Tiengemeten (ged.)";"BU05880308";"0";".";".";".";".";".";".";".";".";"."
"Overige verspr.h. Zuid-Beijerland";"BU05880309";"100";"40.8";"30.1";"32";"29";"65";".";".";".";"."
"Oudewater";"GM0589";"7500";"31.6";"24.3";"38";"23";"64";"30";"29";"6";"5"
"Wijk 00 Oudewater";"WK058900";"4800";"30.8";"24.5";"38";"22";"62";"33";"25";"6";"5"
"Oudewater";"BU05890000";"1600";"36.0";"29.1";"33";"27";"67";"33";"28";"7";"6"
"Brede Dijk";"BU05890001";"2100";"27.7";"22.2";"42";"19";"61";"37";"21";"6";"5"
"Klein Hekendorp";"BU05890002";"1200";"29.6";"22.8";"39";"21";"58";"25";"27";"4";"3"
"Wijk 01 Hoenkoop";"WK058901";"700";"29.9";"21.7";"43";"21";"64";"32";"32";"8";"6"
"Hoenkoopse Buurtweg";"BU05890100";"200";"31.9";"21.9";"41";"24";"68";".";".";".";"."
"Goudse Straatweg";"BU05890101";"400";"30.3";"21.8";"40";"21";"63";"35";"28";"8";"5"
"Verspreide huizen Rozendaal";"BU05890109";"100";"25.5";"20.8";"56";"15";".";".";".";".";"."
"Wijk 02 Snelrewaard";"WK058902";"1100";"34.5";"24.8";"35";"28";"70";"21";"43";"5";"4"
"Snelrewaard";"BU05890200";"300";"33.3";"24.1";"40";"24";"66";"22";"43";"7";"6"
"Lange Linschoten";"BU05890201";"600";"34.6";"24.5";"30";"29";"73";"19";"41";"4";"3"
"Snelrewaard-West";"BU05890202";"200";"36.6";"27.4";"41";"29";"63";".";".";".";"."
"Wijk 03 Driebruggen-Zuid";"WK058903";"900";"33.2";"24.2";"36";"26";"65";"22";"38";"6";"3"
"Hekendorp";"BU05890300";"400";"32.9";"23.3";"36";"25";"64";"27";"30";"7";"3"
"Papekop";"BU05890301";"100";".";"22.1";".";".";".";".";".";".";"."
"Hekendorpse buurt";"BU05890302";"100";"36.5";"26.2";"37";"29";"63";".";".";".";"."
"Ruigeweide";"BU05890303";"100";"39.1";"28.9";"30";"35";"72";".";".";".";"."
"Diemerbroek";"BU05890304";"100";"28.4";"20.6";"47";"21";"57";".";".";".";"."
"Papekopperstraatweg";"BU05890305";"0";".";".";".";".";".";".";".";".";"."
"Papendrecht";"GM0590";"24500";"31.2";"24.1";"37";"24";"60";"31";"24";"6";"5"
"Wijk 00 Papendrecht";"WK059000";"24500";"31.2";"24.1";"37";"24";"60";"31";"24";"6";"5"
"Westpolder";"BU05900001";"7000";"30.0";"23.3";"38";"21";"58";"33";"20";"7";"6"
"Molenvliet";"BU05900002";"2700";"31.5";"24.5";"36";"25";"58";"22";"29";"6";"5"
"Kraaihoek";"BU05900003";"4700";"27.3";"21.8";"40";"17";"55";"44";"13";"10";"8"
"Middenpolder";"BU05900004";"2000";"32.7";"25.9";"32";"26";"62";"28";"23";"4";"4"
"Wilgendonk";"BU05900005";"4600";"32.8";"24.7";"36";"27";"64";"25";"32";"5";"4"
"Oosteind en De Kooy";"BU05900006";"1000";"30.9";"25.6";"35";"23";"57";"25";"21";"2";"2"
"Oostpolder";"BU05900007";"2600";"37.6";"26.4";"32";"33";"68";"20";"39";"4";"3"
"Vriesenpolder";"BU05900008";"0";".";".";".";".";".";".";".";".";"."
"Ridderkerk";"GM0597";"35500";"29.1";"23.1";"39";"20";"58";"36";"19";"7";"5"
"Wijk 00 Ridderkerk";"WK059700";"35500";"29.1";"23.1";"39";"20";"58";"36";"19";"7";"5"
"Ridderkerk-Centrum";"BU05970001";"3500";"26.4";"21.5";"39";"13";"61";"55";"9";"12";"10"
"Ridderkerk-West";"BU05970002";"2700";"25.1";"21.0";"45";"14";"46";"43";"12";"6";"6"
"Ridderkerk-Oost";"BU05970003";"4800";"26.8";"20.9";"43";"17";"55";"38";"15";"8";"6"
"Drievliet";"BU05970004";"6300";"30.3";"24.3";"37";"23";"58";"28";"25";"5";"4"
"Het Zand";"BU05970005";"2300";"33.7";"26.3";"35";"29";"61";"17";"36";"2";"2"
"Slikkeveer";"BU05970006";"6700";"30.0";"23.2";"37";"22";"63";"33";"20";"6";"5"
"Bolnes";"BU05970007";"6200";"27.7";"22.8";"41";"18";"55";"39";"16";"7";"6"
"Rijsoord";"BU05970008";"2400";"34.9";"27.0";"38";"27";"60";"26";"33";"5";"4"
"Oostendam";"BU05970009";"500";"31.3";"23.9";"38";"24";"60";"24";"28";"7";"6"
"Donkersloot";"BU05970010";"100";".";"20.9";".";".";"64";".";".";".";"."
"Verenambacht";"BU05970011";"0";".";".";".";".";".";".";".";".";"."
"Cornelisland";"BU05970012";"0";".";".";".";".";".";".";".";".";"."
"Rotterdam";"GM0599";"464600";"27.5";"21.4";"44";"18";"53";"53";"14";"19";"16"
"Wijk 01 Rotterdam Centrum";"WK059901";"25400";"32.3";"27.7";"41";"26";"57";"53";"15";"17";"15"
"Stadsdriehoek";"BU05990110";"11700";"37.2";"33.0";"32";"34";"66";"45";"19";"10";"8"
"Oude Westen";"BU05990111";"7000";"22.3";"17.6";"57";"11";"43";"67";"9";"34";"29"
"Cool";"BU05990112";"4100";"30.5";"27.0";"41";"24";"61";"54";"12";"16";"15"
"C.S. kwartier";"BU05990113";"800";"39.7";"35.2";"30";"38";"64";"39";"21";"5";"4"
"Nieuwe Werk";"BU05990118";"1200";"48.1";"43.3";"42";"39";"53";"51";"29";"11";"8"
"Dijkzigt";"BU05990119";"600";"23.3";"21.6";"56";"17";"47";"74";"8";"15";"13"
"Wijk 03 Delfshaven";"WK059903";"55000";"22.7";"17.3";"53";"12";"49";"63";"9";"28";"23"
"Delfshaven";"BU05990320";"5100";"21.6";"17.6";"56";"11";"47";"70";"6";"27";"23"
"Bospolder";"BU05990321";"5100";"20.2";"14.7";"57";"8";"41";"66";"7";"34";"26"
"Tussendijken";"BU05990322";"5100";"18.7";"14.1";"61";"6";"40";"71";"5";"38";"31"
"Spangen";"BU05990323";"7300";"20.9";"15.0";"53";"9";"48";"58";"7";"28";"21"
"Nieuwe Westen";"BU05990324";"13800";"22.5";"16.8";"54";"12";"46";"62";"9";"30";"24"
"Middelland";"BU05990325";"8900";"25.7";"20.7";"50";"17";"53";"62";"12";"25";"21"
"Oud-Mathenesse";"BU05990327";"5400";"22.5";"17.9";"46";"8";"59";"65";"4";"19";"16"
"Witte Dorp";"BU05990328";"400";"20.8";"15.9";"52";"8";"44";"56";"7";"22";"19"
"Schiemond";"BU05990329";"3800";"31.0";"23.6";"41";"23";"57";"47";"18";"21";"17"
"Wijk 04 Overschie";"WK059904";"12500";"28.7";"22.1";"42";"18";"56";"50";"16";"16";"13"
"Kleinpolder";"BU05990451";"5700";"24.4";"19.0";"48";"11";"49";"62";"8";"21";"17"
"Noord-Kethel";"BU05990452";"100";".";".";".";".";".";".";".";".";"."
"Schieveen";"BU05990454";"300";"33.6";"26.8";"38";"26";"67";"31";"35";"6";"4"
"Zestienhoven";"BU05990455";"1000";"43.8";"29.6";"27";"40";"74";"21";"46";"8";"8"
"Overschie";"BU05990456";"5200";"30.4";"23.7";"37";"21";"61";"41";"19";"11";"9"
"Landzicht";"BU05990457";"300";"22.9";"18.6";"45";"8";"53";"61";"5";"19";"17"
"Wijk 05 Noord";"WK059905";"39600";"27.2";"21.8";"43";"19";"57";"56";"11";"20";"17"
"Agniesebuurt";"BU05990515";"3100";"23.4";"18.5";"52";"13";"48";"65";"8";"27";"23"
"Provenierswijk";"BU05990516";"3600";"26.8";"22.1";"47";"18";"55";"60";"12";"20";"17"
"Bergpolder";"BU05990531";"6600";"26.7";"23.0";"41";"18";"64";"60";"8";"16";"13"
"Blijdorp";"BU05990532";"8100";"35.4";"29.7";"28";"33";"73";"40";"19";"7";"7"
"Liskwartier";"BU05990534";"5700";"28.7";"22.3";"43";"21";"56";"54";"15";"19";"16"
"Oude Noorden";"BU05990535";"12500";"22.4";"17.0";"52";"11";"47";"64";"7";"29";"24"
"Blijdorpse Polder";"BU05990558";"0";".";".";".";".";".";".";".";".";"."
"Wijk 06 Hillegersberg-Schiebroek";"WK059906";"31200";"38.8";"29.0";"35";"30";"60";"40";"28";"11";"10"
"Schiebroek";"BU05990660";"11700";"30.2";"22.8";"41";"21";"55";"52";"18";"17";"14"
"Hillegersberg-Zuid";"BU05990661";"5900";"36.7";"28.1";"30";"32";"69";"37";"25";"8";"6"
"Hillegersberg-Noord";"BU05990662";"5700";"42.9";"33.1";"35";"31";"57";"40";"28";"11";"11"
"Terbregge";"BU05990664";"2500";"42.3";"29.7";"31";"37";"66";"24";"40";"7";"6"
"Molenlaankwartier";"BU05990665";"5400";"53.8";"38.5";"29";"44";"61";"26";"47";"5";"6"
"Wijk 08 Kralingen-Crooswijk";"WK059908";"38400";"28.8";"23.1";"48";"19";"49";"59";"13";"21";"18"
"Rubroek";"BU05990814";"6400";"24.4";"19.8";"49";"15";"49";"62";"8";"20";"18"
"Nieuw-Crooswijk";"BU05990836";"2200";"22.3";"18.4";"52";"11";"53";"66";"8";"28";"23"
"Oud-Crooswijk";"BU05990837";"5900";"19.6";"14.7";"59";"7";"39";"69";"5";"34";"30"
"Kralingen-West";"BU05990841";"11500";"25.9";"20.7";"49";"17";"50";"60";"11";"22";"19"
"Kralingen-Oost";"BU05990842";"5200";"52.9";"39.9";"38";"40";"54";"42";"35";"9";"8"
"Kralingse Bos";"BU05990843";"100";".";"29.7";".";".";".";".";".";".";"."
"De Esch";"BU05990845";"3600";"27.2";"23.2";"44";"19";"52";"54";"10";"19";"16"
"Struisenburg";"BU05990847";"3400";"32.0";"28.5";"45";"26";"48";"55";"16";"12";"11"
"Wijk 10 Feijenoord";"WK059910";"52400";"23.2";"17.2";"52";"12";"45";"61";"9";"28";"23"
