"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Delfzijl-West";"BU00100003";"2800";"27.4";"22.4";"41";"16";"53";"41";"13";"6";"6"
"Fivelzigt";"BU00100004";"1200";"31.3";"24.5";"35";"24";"57";"20";"23";"4";"3"
"Tuikwerd";"BU00100005";"2000";"25.7";"19.1";"45";"16";"52";"47";"14";"19";"14"
"Wijk 01 Land";"WK001001";"600";"31.3";"24.2";"36";"26";"64";"27";"28";"6";"5"
"Meedhuizen";"BU00100103";"300";"32.7";"24.0";"33";"26";"63";"23";"25";"4";"3"
"Uitwierde";"BU00100104";"100";".";".";".";".";".";".";".";".";"."
"Verspr.h. Eemskanaal (ten zuiden)";"BU00100107";"200";"28.1";"22.9";"40";"24";"68";"32";"31";"9";"8"
"Industrieterrein";"BU00100108";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in het noorden";"BU00100109";"0";".";".";".";".";".";".";".";".";"."
"Wijk 02";"WK001002";"2800";"26.8";"20.8";"40";"17";"56";"36";"16";"7";"5"
"Woldendorp";"BU00100200";"700";"25.3";"19.4";"43";"14";"51";"38";"9";"7";"4"
"Termunten";"BU00100201";"300";"29.5";"22.8";"38";"23";"60";"34";"22";"9";"8"
"Termunterzijl";"BU00100202";"200";"25.0";"19.8";"42";"14";"47";"45";"14";"10";"8"
"Borgsweer";"BU00100203";"100";"26.6";"20.1";"45";"16";"43";".";".";".";"."
"Wagenborgen";"BU00100205";"1300";"26.7";"20.9";"38";"16";"57";"35";"16";"6";"4"
"Verspreide huizen Wagenborgen";"BU00100207";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Termunten";"BU00100209";"100";"29.6";"22.1";"38";"21";"70";".";".";".";"."
"Wijk 03";"WK001003";"2900";"27.1";"20.4";"41";"17";"57";"34";"17";"8";"6"
"Bierum";"BU00100300";"400";"27.5";"20.1";"40";"19";"56";"37";"17";"7";"7"
"Spijk";"BU00100301";"900";"25.5";"18.9";"42";"14";"58";"36";"13";"8";"6"
"Holwierde";"BU00100302";"700";"27.4";"21.6";"39";"17";"56";"31";"19";"6";"5"
"Godlinze";"BU00100303";"200";"25.6";"20.5";"47";"18";"57";"43";"17";"14";"11"
"Losdorp";"BU00100304";"100";"29.7";"22.3";"40";"20";"54";".";".";".";"."
"Krewerd";"BU00100305";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Bierum";"BU00100309";"400";"28.7";"20.9";"39";"22";"61";"27";"28";"6";"5"
"Groningen";"GM0014";"157200";"24.2";"20.2";"51";"15";"49";"64";"10";"18";"14"
"Wijk 00 Binnenstad";"WK001400";"16000";"19.0";"17.9";"67";"10";"36";"81";"5";"24";"19"
"Stadscentrum";"BU00140000";"2300";"17.1";"16.2";"71";"9";"31";"83";"4";"23";"18"
"Binnenstad-Zuid";"BU00140001";"5300";"19.1";"18.1";"67";"10";"35";"82";"5";"26";"20"
"Binnenstad-Oost";"BU00140002";"2500";"18.5";"17.5";"65";"8";"40";"81";"4";"26";"20"
"Binnenstad-West";"BU00140003";"1300";"18.9";"18.1";"69";"9";"36";"81";"6";"24";"18"
"Binnenstad-Noord";"BU00140004";"4500";"20.2";"18.8";"64";"12";"38";"79";"6";"23";"17"
"Wijk 01 Schilders- en Zeeheldenwijk";"WK001401";"20700";"19.7";"17.2";"62";"10";"38";"73";"6";"19";"15"
"Schildersbuurt";"BU00140100";"6200";"21.8";"20.3";"62";"15";"38";"75";"9";"15";"12"
"Zeeheldenbuurt";"BU00140101";"3800";"18.2";"17.0";"67";"11";"35";"80";"4";"20";"14"
"Friesestraatweg";"BU00140102";"0";".";".";".";".";".";".";".";".";"."
"Kostverloren";"BU00140103";"1900";"21.6";"19.2";"54";"11";"46";"74";"6";"26";"19"
"Vinkhuizen-Zuid";"BU00140104";"3500";"20.2";"15.4";"55";"7";"40";"62";"5";"21";"18"
