"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Verspreide huizen Doorwerthse waarden";"BU02740209";"2";".";".";".";".";".";".";".";".";".";"."
"Rheden";"GM0275";"20909";"204";"75";"25";".";".";"53";"46";".";".";"1"
"Wijk 00 Dieren";"WK027500";"7856";"194";"84";"16";".";".";"56";"44";".";".";"0"
"Dieren-Zuid beneden spoorlijn";"BU02750000";"1032";"236";"67";"33";".";".";"64";"36";".";".";"0"
"Dieren-Noord boven spoorlijn";"BU02750001";"3581";"159";"84";"16";".";".";"52";"48";".";".";"0"
"Dieren-West boven spoorlijn";"BU02750002";"2004";"189";"87";"13";".";".";"50";"50";".";".";"0"
"Spankeren";"BU02750003";"342";"220";"100";"0";".";".";"62";"38";".";".";"0"
"Ellecom";"BU02750004";"438";"298";"95";"5";".";".";"83";"17";".";".";"0"
"Laag-Soeren";"BU02750005";"319";"265";"86";"14";".";".";"61";"39";".";".";"0"
"Verspreide huizen bosgebied Laag Soeren";"BU02750007";"56";".";"89";"11";".";".";"84";"14";".";".";"2"
"Verspreide huizen Spankeren";"BU02750008";"42";".";"98";"2";".";".";"76";"24";".";".";"0"
"Verspr.h. Fraterwaard en Beimerwaard";"BU02750009";"41";".";"44";"56";".";".";"88";"12";".";".";"0"
"Verspreide huizen bosgebied Ellecom";"BU02750010";"0";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen bosgebied Dieren";"BU02750011";"1";".";".";".";".";".";".";".";".";".";"."
"Wijk 01 Rheden";"WK027501";"4173";"199";"83";"17";".";".";"53";"47";".";".";"0"
"Rheden";"BU02750100";"3526";"183";"81";"19";".";".";"51";"49";".";".";"0"
"Rheden-West ten W. v. Oranjeweg en Haver";"BU02750101";"26";".";"100";"0";".";".";"81";"8";".";".";"12"
"Verspreide huizen Rheden";"BU02750102";"120";"485";"95";"5";".";".";"75";"25";".";".";"0"
"De Steeg";"BU02750103";"454";"254";"90";"10";".";".";"61";"39";".";".";"0"
"Verspreide huizen bosgebied De Steeg";"BU02750106";"4";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen bosgebied Rheden";"BU02750107";"6";".";".";".";".";".";".";".";".";".";"."
"Verspr.h. Havikerwaard en Middachten";"BU02750108";"37";".";"100";"0";".";".";"19";"81";".";".";"0"
"Wijk 02 Velp";"WK027502";"8880";"215";"62";"38";".";".";"51";"48";".";".";"1"
"Velp-Noord boven spoorlijn";"BU02750200";"3491";"299";"63";"37";".";".";"73";"27";".";".";"0"
"Velp-Zuid beneden spoorlijn";"BU02750201";"3597";"167";"73";"27";".";".";"37";"60";".";".";"3"
"Velp-Zuid ten zuiden van Waterstraat";"BU02750202";"1757";"145";"38";"62";".";".";"36";"64";".";".";"0"
"Verspreide huizen Velp-Noordoost";"BU02750208";"5";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Velp-Zuidoost";"BU02750209";"30";".";"97";"3";".";".";"80";"20";".";".";"0"
"Rozendaal";"GM0277";"627";"462";"99";"1";".";".";"86";"14";".";".";"0"
"Wijk 00";"WK027700";"627";"462";"99";"1";".";".";"86";"14";".";".";"0"
"Rozendaal";"BU02770000";"619";"462";"99";"1";".";".";"86";"14";".";".";"0"
"Verspreide huizen Imbosch en Terlet";"BU02770009";"8";".";".";".";".";".";".";".";".";".";"."
"Scherpenzeel";"GM0279";"3709";"265";"87";"13";".";".";"70";"30";".";".";"0"
"Wijk 00";"WK027900";"3709";"265";"87";"13";".";".";"70";"30";".";".";"0"
"Scherpenzeel";"BU02790000";"3485";"261";"86";"14";".";".";"69";"31";".";".";"0"
"Verspr.h. ten zuiden van Scherpenzeel";"BU02790008";"50";".";"94";"6";".";".";"66";"32";".";".";"2"
"Verspr.h. ten noorden van Scherpenzeel";"BU02790009";"174";"394";"100";"0";".";".";"86";"14";".";".";"1"
"Tiel";"GM0281";"17521";"195";"74";"26";".";".";"53";"45";".";".";"2"
"Wijk 00 Tiel kern";"WK028100";"9071";"161";"59";"41";".";".";"42";"55";".";".";"3"
"Binnenstad";"BU02810000";"1195";"150";"14";"86";".";".";"33";"60";".";".";"7"
"Sterrebos";"BU02810001";"651";"161";"79";"21";".";".";"57";"42";".";".";"1"
"Hertogenwijk";"BU02810002";"1052";"139";"42";"58";".";".";"24";"61";".";".";"15"
"Burgemeestersbuurt";"BU02810003";"615";"176";"77";"23";".";".";"57";"43";".";".";"0"
"Stationsbuurt";"BU02810004";"418";"228";"73";"27";".";".";"73";"26";".";".";"1"
"Sandwijk";"BU02810005";"684";"162";"77";"23";".";".";"62";"38";".";".";"0"
"Lok";"BU02810006";"581";"144";"95";"5";".";".";"28";"72";".";".";"0"
"Ooij";"BU02810007";"1204";"157";"88";"12";".";".";"36";"64";".";".";"0"
"Ridderweide en Tiel-West";"BU02810008";"1631";"134";"40";"60";".";".";"18";"82";".";".";"0"
"Latenstein";"BU02810009";"1040";"217";"65";"35";".";".";"77";"23";".";".";"1"
"Wijk 01 Tiel overig gebied";"WK028101";"7694";"223";"90";"10";".";".";"64";"35";".";".";"1"
"Elzenpas";"BU02810100";"1220";"259";"91";"9";".";".";"62";"38";".";".";"0"
"Westroijen";"BU02810101";"804";"160";"96";"4";".";".";"39";"61";".";".";"0"
"Uitbreiding ten Z. v. kanaal Passewaaij-";"BU02810102";"1497";"234";"99";"1";".";".";"84";"16";".";".";"0"
"Rauwenhof";"BU02810103";"1376";"192";"79";"21";".";".";"44";"56";".";".";"0"
"Drumpt";"BU02810104";"896";"225";"95";"5";".";".";"64";"36";".";".";"0"
"Zennewijnen";"BU02810105";"20";".";"100";"0";".";".";"85";"15";".";".";"0"
"Passewaay-Zuid";"BU02810106";"1694";"223";"85";"15";".";".";"75";"22";".";".";"3"
"Verspreide huizen Passewaaij";"BU02810107";"91";"382";"100";"0";".";".";"80";"20";".";".";"0"
"Veluwe";"BU02810108";"75";"405";"100";"0";".";".";"83";"15";".";".";"3"
"Industrieterrein Kellen";"BU02810109";"21";".";"76";"24";".";".";"67";"33";".";".";"0"
"Wijk 02 Wadenoijen en omgeving";"WK028102";"768";"321";"97";"3";".";".";"70";"28";".";".";"2"
"Wadenoijen";"BU02810200";"278";"253";"97";"3";".";".";"57";"43";".";".";"0"
"Kapel-Avezaath";"BU02810201";"193";"300";"96";"4";".";".";"70";"30";".";".";"0"
"Industrieterrein Medel";"BU02810202";"21";".";"100";"0";".";".";".";".";".";".";"."
"Verspreide huizen Bergakker";"BU02810208";"100";"402";"92";"8";".";".";"83";"17";".";".";"0"
"Verspreide huizen Wadenoijen";"BU02810209";"176";"414";"98";"2";".";".";"87";"13";".";".";"0"
"Ubbergen";"GM0282";"4283";"243";"80";"20";".";".";"65";"35";".";".";"0"
"Wijk 00";"WK028200";"4283";"243";"80";"20";".";".";"65";"35";".";".";"0"
"Ubbergen";"BU02820000";"237";"323";"54";"46";".";".";"58";"42";".";".";"0"
"Beek";"BU02820001";"1596";"262";"81";"19";".";".";"63";"37";".";".";"0"
"Berg en Dal (gedeeltelijk)";"BU02820002";"327";"230";"16";"84";".";".";"78";"22";".";".";"0"
"Ooij";"BU02820003";"930";"215";"91";"9";".";".";"57";"43";".";".";"0"
"Leuth";"BU02820004";"687";"200";"92";"8";".";".";"63";"37";".";".";"0"
"Kekerdom";"BU02820005";"217";"224";"94";"6";".";".";"71";"29";".";".";"0"
"Verspreide huizen Beek";"BU02820006";"15";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Leuth";"BU02820007";"31";".";"81";"19";".";".";"77";"23";".";".";"0"
"Verspreide huizen Kekerdom";"BU02820008";"16";".";".";".";".";".";".";".";".";".";"."
"Verspr.h. Ooij, Persingen, Erlecom";"BU02820009";"227";"306";"93";"7";".";".";"91";"9";".";".";"0"
"Voorst";"GM0285";"9621";"261";"85";"15";".";".";"65";"35";".";".";"0"
"Wijk 00 Voorst";"WK028500";"1171";"246";"82";"18";".";".";"57";"43";".";".";"0"
"Voorst";"BU02850000";"683";"217";"84";"16";".";".";"53";"47";".";".";"0"
"Bussloo";"BU02850001";"29";".";"90";"10";".";".";"79";"21";".";".";"0"
"Gietelo";"BU02850002";"149";"189";"50";"50";".";".";"45";"55";".";".";"0"
"Verspreide huizen Voorst en Wilpse Klei";"BU02850005";"110";"309";"90";"10";".";".";"64";"36";".";".";"0"
"Verspreide huizen Gietelo-Bussloo";"BU02850006";"47";".";"94";"6";".";".";"55";"45";".";".";"0"
"Verspr.h. langs de IJssel Voorster Klei";"BU02850007";"29";".";"97";"3";".";".";"66";"34";".";".";"0"
"Verspreide huizen Appensche Veld";"BU02850008";"20";".";"100";"0";".";".";"30";"70";".";".";"0"
"Verspr.h. akkerbouwgebied Noord-Empe";"BU02850009";"104";"362";"92";"8";".";".";"85";"14";".";".";"1"
"Wijk 01 Twello-Nijbroek";"WK028501";"6673";"258";"85";"15";".";".";"64";"35";".";".";"0"
"Twello-Midden";"BU02850100";"2501";"232";"73";"27";".";".";"54";"45";".";".";"1"
"Twello-Zuid";"BU02850101";"1721";"246";"91";"9";".";".";"66";"34";".";".";"0"
"Twello-Noord";"BU02850102";"845";"279";"92";"8";".";".";"64";"36";".";".";"0"
"Terwolde";"BU02850103";"463";"242";"96";"4";".";".";"68";"32";".";".";"0"
"Nijbroek";"BU02850104";"61";"240";"100";"0";".";".";"80";"20";".";".";"0"
"Verspreide huizen Twello-Zuid";"BU02850105";"410";"334";"88";"12";".";".";"80";"20";".";".";"0"
"Steenenkamer";"BU02850106";"115";"300";"96";"4";".";".";"90";"10";".";".";"0"
"Verspreide huizen Twello-Noord";"BU02850107";"92";"342";"97";"3";".";".";"76";"23";".";".";"1"
"Verspreide huizen Nijbroek";"BU02850108";"251";"339";"92";"8";".";".";"87";"13";".";".";"0"
"Verspr.h. op de oeverwal Terwolde";"BU02850109";"214";"310";"92";"8";".";".";"84";"16";".";".";"0"
"Wijk 02 Klarenbeek-Teuge";"WK028502";"1160";"286";"89";"11";".";".";"76";"24";".";".";"1"
"Klarenbeek (gedeeltelijk)";"BU02850200";"309";"250";"94";"6";".";".";"69";"30";".";".";"1"
"Teuge";"BU02850201";"148";"259";"97";"3";".";".";"68";"32";".";".";"0"
"Wilp-Achterhoek";"BU02850202";"46";".";"96";"4";".";".";"96";"4";".";".";"0"
"De Vecht";"BU02850203";"65";"238";"94";"6";".";".";"78";"22";".";".";"0"
"Verspr.h. De Vecht, De Pol en omgeving";"BU02850205";"93";"324";"86";"14";".";".";"88";"10";".";".";"2"
"Verspreide huizen Teuge";"BU02850206";"143";"313";"87";"13";".";".";"74";"24";".";".";"1"
"Verspreide huizen Wilp-Achterhoek";"BU02850207";"117";"325";"82";"18";".";".";"79";"21";".";".";"0"
"Verspreide huizen Klarenbeek-Noord";"BU02850208";"153";"333";"82";"18";".";".";"78";"20";".";".";"1"
"Verspreide huizen Klarenbeek-Zuid";"BU02850209";"86";"316";"74";"26";".";".";"76";"24";".";".";"0"
"Wijk 03 Wilp";"WK028503";"617";"271";"94";"6";".";".";"68";"32";".";".";"0"
"Wilp";"BU02850300";"392";"241";"95";"5";".";".";"58";"42";".";".";"0"
"Posterenk";"BU02850301";"99";"297";"97";"3";".";".";"85";"15";".";".";"0"
"Verspreide huizen Wilp en Posterenk";"BU02850308";"99";"352";"88";"12";".";".";"89";"11";".";".";"0"
"Verspreide huizen op de Wilpse Klei";"BU02850309";"27";".";"85";"15";".";".";"78";"22";".";".";"0"
"Wageningen";"GM0289";"19236";"244";"41";"59";".";".";"37";"58";".";".";"5"
"Wijk 00 Stedelijk gebied";"WK028900";"17776";"223";"38";"62";".";".";"35";"60";".";".";"6"
"Oude Stad Binnenstad";"BU02890000";"1017";"214";"14";"86";".";".";"33";"58";".";".";"9"
"Buitenwijk Wageningen-Noord";"BU02890001";"2814";"184";"51";"49";".";".";"21";"79";".";".";"0"
"Buitenwijk Wageningen-Oost";"BU02890002";"1452";"321";"60";"40";".";".";"70";"28";".";".";"1"
"Buitenwijk Wageningen-West";"BU02890003";"3432";"191";"4";"96";".";".";"18";"75";".";".";"7"
"Buitenwijk Wageningen-Noordwest";"BU02890004";"2480";"224";"32";"68";".";".";"28";"44";".";".";"28"
"Buitenwijk Tarthorst-Roghorst-Haverlande";"BU02890005";"2343";"203";"32";"68";".";".";"21";"79";".";".";"0"
"Buitenwijk Wageningen-Noordoost";"BU02890006";"2639";"214";"48";"52";".";".";"42";"58";".";".";"0"
"Uitbreidingsplan-Noordwest";"BU02890007";"1599";"261";"85";"15";".";".";"80";"20";".";".";"0"
"Wijk 01 Landelijk gebied";"WK028901";"1460";"460";"80";"20";".";".";"64";"36";".";".";"0"
"Wageningen Hoog";"BU02890100";"521";"620";"100";"0";".";".";"92";"8";".";".";"0"
"Verspr.h. Hogesteeg, De Keyzer e.o.";"BU02890105";"84";"496";"81";"19";".";".";"73";"27";".";".";"0"
"Verspreide huizen vroegere Nude-gebied";"BU02890106";"87";"341";"91";"9";".";".";"82";"18";".";".";"0"
"Verspreide huizen Het Binnenveld";"BU02890107";"550";"288";"68";"32";".";".";"44";"55";".";".";"1"
"Verspr.h. Wageningse Berg, De Eng e.o.";"BU02890108";"177";"410";"50";"50";".";".";"27";"73";".";".";"0"
"Verspreide huizen Uiterwaarden";"BU02890109";"41";".";"80";"20";".";".";"85";"15";".";".";"0"
"Westervoort";"GM0293";"6453";"182";"88";"12";".";".";"57";"43";".";".";"0"
"Wijk 00";"WK029300";"6453";"182";"88";"12";".";".";"57";"43";".";".";"0"
"Westervoort";"BU02930000";"2445";"204";"88";"12";".";".";"65";"35";".";".";"0"
"Westervoort-Broeklanden";"BU02930001";"644";"147";"85";"15";".";".";"48";"52";".";".";"0"
"Westervoort-Lange Maat en Hoogeind";"BU02930002";"1398";"162";"91";"9";".";".";"48";"52";".";".";"0"
"De Leigraaf-De Steenderens";"BU02930003";"902";"189";"96";"4";".";".";"68";"32";".";".";"0"
"De Ganzepoel-Schans";"BU02930004";"1039";"168";"79";"21";".";".";"46";"54";".";".";"0"
"Verspreide huizen Westervoort";"BU02930009";"25";".";"96";"4";".";".";"72";"28";".";".";"0"
"Winterswijk";"GM0294";"12795";"180";"78";"22";".";".";"68";"32";".";".";"0"
"Wijk 00 Stad";"WK029400";"10380";"159";"76";"24";".";".";"66";"34";".";".";"0"
"Centrale deel";"BU02940000";"2092";"147";"43";"57";".";".";"47";"53";".";".";"0"
"Winterswijk-Zuidwest";"BU02940001";"1509";"148";"80";"20";".";".";"64";"36";".";".";"0"
"Winterswijk-Noordwest";"BU02940002";"2107";"194";"96";"4";".";".";"85";"15";".";".";"0"
"Winterswijk-Noordoost";"BU02940003";"2818";"141";"81";"19";".";".";"65";"35";".";".";"0"
"Winterswijk-Zuidoost";"BU02940004";"1854";"169";"81";"19";".";".";"69";"31";".";".";"0"
"Wijk 01 Land";"WK029401";"2415";"286";"85";"15";".";".";"77";"23";".";".";"0"
"Meddo";"BU02940100";"212";"223";"91";"9";".";".";"84";"16";".";".";"0"
"Kotten";"BU02940101";"52";"308";"96";"4";".";".";"79";"21";".";".";"0"
"Miste";"BU02940102";"52";".";"92";"8";".";".";"94";"6";".";".";"0"
"Verspr.h. Brinkheurne en omgeving";"BU02940103";"236";"306";"85";"15";".";".";"78";"22";".";".";"0"
"Verspreide huizen Meddo";"BU02940104";"262";"293";"87";"13";".";".";"85";"15";".";".";"0"
"Verspr.h. ten noorden van Winterswijk";"BU02940105";"136";"351";"82";"18";".";".";"76";"24";".";".";"0"
"Verspreide huizen Ratum, Henxel, Huppel";"BU02940106";"449";"282";"80";"20";".";".";"70";"30";".";".";"0"
"Verspreide huizen Kotten";"BU02940107";"225";"306";"85";"15";".";".";"84";"16";".";".";"0"
"Woold";"BU02940108";"24";".";"100";"0";".";".";"88";"13";".";".";"0"
"Verspreide huizen Miste";"BU02940109";"145";"272";"88";"12";".";".";"75";"24";".";".";"1"
"Verspreide huizen Corle en omgeving";"BU02940120";"294";"286";"85";"15";".";".";"73";"27";".";".";"0"
"Verspreide huizen Woold";"BU02940121";"328";"290";"85";"15";".";".";"71";"29";".";".";"0"
"Wijchen";"GM0296";"17440";"227";"83";"17";".";".";"65";"34";".";".";"1"
"Wijk 00 Wijchen buitengebied";"WK029600";"86";"362";"88";"12";".";".";"83";"17";".";".";"0"
"Verspreide huizen wezel";"BU02960000";"47";".";"96";"4";".";".";"94";"6";".";".";"0"
"Verspreide huizen Vormer";"BU02960001";"20";".";"90";"10";".";".";"90";"10";".";".";"0"
"Verspreide huizen Bankhoef";"BU02960002";"19";".";".";".";".";".";".";".";".";".";"."
"Wijk 01 Wijchen kern";"WK029601";"14381";"215";"82";"18";".";".";"64";"36";".";".";"1"
"Saltshof";"BU02960100";"751";"233";"100";"0";".";".";"93";"7";".";".";"0"
"Bedrijventerrein Bijsterhuizen";"BU02960101";"1";".";".";".";".";".";".";".";".";".";"."
"Woezik";"BU02960102";"161";"302";"97";"3";".";".";"81";"19";".";".";"0"
"Veenhof";"BU02960103";"335";"222";"87";"13";".";".";"69";"31";".";".";"0"
"Verspreide huizen Woezik";"BU02960104";"74";"423";"97";"3";".";".";"89";"11";".";".";"0"
"Lambrasse";"BU02960105";"245";"164";"74";"26";".";".";"95";"5";".";".";"0"
"Kraaijenberg";"BU02960106";"709";"179";"95";"5";".";".";"65";"35";".";".";"0"
"Heilige Stoel";"BU02960107";"767";"189";"93";"7";".";".";"49";"51";".";".";"0"
"Homberg";"BU02960108";"722";"165";"77";"23";".";".";"25";"75";".";".";"0"
"Wijchen Noord";"BU02960109";"2014";"170";"77";"23";".";".";"51";"46";".";".";"3"
"Hofsedam";"BU02960110";"331";"325";"77";"23";".";".";"71";"28";".";".";"1"
"Bedrijventerrein Zesweg";"BU02960111";"135";"382";"93";"7";".";".";"90";"10";".";".";"0"
"Blauwe Hof";"BU02960112";"365";"289";"100";"0";".";".";"96";"4";".";".";"0"
"Aalsburg";"BU02960113";"523";"259";"100";"0";".";".";"98";"2";".";".";"0"
"Centrum";"BU02960114";"777";"241";"20";"80";".";".";"51";"41";".";".";"8"
"De Uilenboom";"BU02960115";"372";"253";"95";"5";".";".";"75";"25";".";".";"0"
"Valendries";"BU02960116";"910";"239";"86";"14";".";".";"45";"55";".";".";"0"
"Bedrijventerrein Nieuwenweg";"BU02960117";"127";"323";"88";"12";".";".";"79";"21";".";".";"0"
"Verspreide huizen Valendries";"BU02960118";"35";".";"100";"0";".";".";"89";"11";".";".";"0"
"Zevendreef";"BU02960119";"93";"294";"100";"0";".";".";"90";"10";".";".";"0"
"Zesakkers";"BU02960120";"82";"269";"100";"0";".";".";"51";"49";".";".";"0"
"De Grippen";"BU02960121";"32";".";"100";"0";".";".";"94";"6";".";".";"0"
"De Weertjes";"BU02960122";"94";"360";"100";"0";".";".";"90";"10";".";".";"0"
"Diepvoorde";"BU02960123";"736";"147";"63";"38";".";".";"38";"62";".";".";"0"
"Huissteden-Zuiderpoort";"BU02960124";"136";"128";"26";"74";".";".";"0";"100";".";".";"0"
"Hoogmeer";"BU02960125";"514";"159";"76";"24";".";".";"57";"43";".";".";"0"
"De Ververt";"BU02960126";"308";"144";"44";"56";".";".";"66";"34";".";".";"0"
"Sluiskamp";"BU02960127";"199";"203";"100";"0";".";".";"84";"16";".";".";"0"
"Oudelaan";"BU02960128";"68";"184";"100";"0";".";".";"57";"43";".";".";"0"
"Kronenland";"BU02960129";"143";"203";"100";"0";".";".";"93";"7";".";".";"0"
"Abersland";"BU02960130";"587";"183";"100";"0";".";".";"55";"45";".";".";"0"
"Elsland";"BU02960131";"238";"177";"85";"15";".";".";"38";"62";".";".";"0"
"De Geer";"BU02960132";"105";"230";"87";"13";".";".";"83";"17";".";".";"0"
"De gamert";"BU02960133";"114";"485";"89";"11";".";".";"97";"3";".";".";"0"
"De Meren";"BU02960134";"142";"357";"100";"0";".";".";"99";"1";".";".";"0"
"De Flier";"BU02960135";"342";"220";"86";"14";".";".";"79";"21";".";".";"0"
"Diemewei";"BU02960136";"259";"207";"96";"4";".";".";"97";"3";".";".";"0"
"De Lingert";"BU02960137";"434";"239";"88";"12";".";".";"91";"9";".";".";"0"
"Huurlingsedam";"BU02960138";"401";"242";"91";"9";".";".";"72";"28";".";".";"0"
"Wijk 02 Balgoij";"WK029602";"255";"327";"96";"4";".";".";"85";"14";".";".";"1"
"Balgoij";"BU02960200";"214";"310";"96";"4";".";".";"84";"15";".";".";"1"
"Verspreidehuizen Balgoij";"BU02960201";"41";".";"98";"2";".";".";"95";"5";".";".";"0"
"Wijk 03 Batenburg";"WK029603";"275";"273";"97";"3";".";".";"78";"22";".";".";"0"
"Batenburg";"BU02960300";"224";"259";"97";"3";".";".";"75";"25";".";".";"0"
"Verspreide huizen Batenburg";"BU02960301";"51";".";"96";"4";".";".";"92";"8";".";".";"0"
"Wijk 04 Bergharen";"WK029604";"712";"308";"97";"3";".";".";"80";"20";".";".";"0"
"Bergharen";"BU02960400";"551";"281";"97";"3";".";".";"77";"23";".";".";"0"
"Bedrijventerrein Breekwagen";"BU02960401";"13";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Bergharen";"BU02960402";"148";"410";"97";"3";".";".";"90";"10";".";".";"0"
"Wijk 05 Hernen";"WK029605";"335";"309";"96";"4";".";".";"82";"18";".";".";"0"
"Hernen";"BU02960500";"273";"296";"96";"4";".";".";"80";"20";".";".";"0"
"Verspreide huizen Hernen";"BU02960501";"62";".";"98";"2";".";".";"92";"8";".";".";"0"
"Wijk 06 Leur";"WK029606";"63";".";"76";"24";".";".";"67";"33";".";".";"0"
"Leur";"BU02960600";"15";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Leur";"BU02960601";"48";".";"69";"31";".";".";"69";"31";".";".";"0"
"Wijk 07 Niftrik";"WK029607";"153";"353";"99";"1";".";".";"87";"13";".";".";"0"
"Niftrik";"BU02960700";"115";"323";"100";"0";".";".";"86";"14";".";".";"0"
"Loonse Waard";"BU02960701";"11";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Niftrik";"BU02960702";"27";".";"100";"0";".";".";"100";"0";".";".";"0"
"Wijk 08 Alverna";"WK029608";"1180";"246";"71";"29";".";".";"63";"31";".";".";"6"
"Verspreide huizen Hoogbroek";"BU02960800";"97";"396";"85";"15";".";".";"84";"15";".";".";"1"
"Verspreide huizen Heumenseweg-Boskant";"BU02960801";"236";"297";"95";"5";".";".";"88";"12";".";".";"0"
"Verspreide huizen Lunen";"BU02960802";"25";".";"100";"0";".";".";"96";"4";".";".";"0"
"Alverna";"BU02960803";"822";"211";"62";"38";".";".";"52";"39";".";".";"9"
"Zaltbommel";"GM0297";"10654";"233";"87";"13";".";".";"66";"33";".";".";"1"
"Wijk 00 Zaltbommel";"WK029700";"5151";"218";"81";"19";".";".";"57";"41";".";".";"1"
"Zaltbommel Binnenstad";"BU02970000";"970";"249";"70";"30";".";".";"63";"37";".";".";"0"
"Zaltbommel Vergt en omgeving";"BU02970001";"2042";"197";"81";"19";".";".";"38";"59";".";".";"3"
"Zaltbommel Spellewaard";"BU02970002";"1472";"211";"88";"12";".";".";"69";"31";".";".";"0"
"Verspreide huizen Hoeven";"BU02970007";"563";"250";"84";"16";".";".";"81";"19";".";".";"0"
"Verspreide huizen Oostzijde";"BU02970008";"64";"303";"91";"9";".";".";"83";"16";".";".";"2"
"Verspreide huizen Westzijde";"BU02970009";"40";".";"90";"10";".";".";"70";"30";".";".";"0"
"Wijk 01 Brakel";"WK029701";"2840";"231";"94";"6";".";".";"74";"26";".";".";"0"
"Brakel";"BU02970100";"998";"222";"91";"9";".";".";"73";"27";".";".";"0"
"Poederoijen";"BU02970101";"204";"249";"95";"5";".";".";"73";"27";".";".";"0"
"Aalst";"BU02970102";"608";"214";"95";"5";".";".";"71";"29";".";".";"0"
"Zuilichem";"BU02970103";"469";"230";"96";"4";".";".";"71";"28";".";".";"0"
"De Rietschoof";"BU02970104";"56";"292";"100";"0";".";".";"88";"13";".";".";"0"
"Verspreide huizen in de polder Aalst";"BU02970105";"203";"253";"93";"7";".";".";"84";"16";".";".";"0"
"Verspr.h. in de polder Poederoijen";"BU02970106";"93";"281";"98";"2";".";".";"87";"11";".";".";"2"
"Verspreide huizen in de polder Brakel";"BU02970107";"131";"260";"87";"13";".";".";"80";"20";".";".";"0"
"Verspreide huizen in het Munnikenland";"BU02970108";"5";".";".";".";".";".";".";".";".";".";"."
"Verspr.h. in de polder Zuilichem e.o.";"BU02970109";"73";"244";"99";"1";".";".";"81";"19";".";".";"0"
"Wijk 02 Kerkwijk";"WK029702";"2170";"266";"91";"9";".";".";"74";"25";".";".";"0"
"Kerkwijk";"BU02970200";"158";"276";"93";"7";".";".";"81";"19";".";".";"0"
"Bruchem";"BU02970201";"522";"255";"96";"4";".";".";"74";"25";".";".";"1"
"Beneden-Delwijnen";"BU02970202";"92";"280";"100";"0";".";".";"89";"11";".";".";"0"
"Gameren";"BU02970203";"855";"260";"83";"17";".";".";"68";"32";".";".";"0"
"Nieuwaal";"BU02970204";"193";"258";"98";"2";".";".";"74";"26";".";".";"0"
"Verspr.h. polders Delwijnen en Bruchem";"BU02970207";"70";".";"97";"3";".";".";"91";"9";".";".";"0"
"Verspreide huizen Kerkwijk en Bruchem";"BU02970208";"134";"348";"98";"2";".";".";"87";"13";".";".";"1"
"Verspr.h. polders Gameren en Nieuwaal";"BU02970209";"146";"257";"91";"9";".";".";"81";"19";".";".";"0"
"Wijk 03 Nederhemert";"WK029703";"493";"266";"95";"5";".";".";"77";"23";".";".";"0"
"Nederhemert-Noordzijde";"BU02970300";"411";"257";"96";"4";".";".";"76";"24";".";".";"0"
"Nederhemert-Zuidzijde";"BU02970301";"21";".";"81";"19";".";".";"62";"38";".";".";"0"
"Verspreide huizen Nederhemert";"BU02970309";"61";"296";"93";"7";".";".";"92";"8";".";".";"0"
"Zevenaar";"GM0299";"14541";"186";"81";"19";".";".";"61";"39";".";".";"0"
"Wijk 00 Zevenaar";"WK029900";"10923";"173";"78";"22";".";".";"58";"42";".";".";"0"
"Centrum";"BU02990000";"737";"140";"10";"90";".";".";"37";"63";".";".";"0"
"Molenwijk";"BU02990001";"649";"180";"95";"5";".";".";"75";"25";".";".";"0"
"Het Grieth";"BU02990002";"798";"172";"89";"11";".";".";"60";"40";".";".";"0"
"Schrijvershoek";"BU02990003";"1189";"138";"62";"38";".";".";"42";"58";".";".";"0"
"Zonnemaat";"BU02990004";"1930";"147";"79";"21";".";".";"49";"51";".";".";"0"
"Lentemorgen I";"BU02990005";"1022";"160";"83";"17";".";".";"46";"54";".";".";"0"
"Stegeslag";"BU02990006";"1356";"188";"78";"22";".";".";"63";"37";".";".";"0"
"Lentemorgen II";"BU02990007";"636";"180";"100";"0";".";".";"83";"17";".";".";"0"
"Tatelaar";"BU02990008";"36";".";"75";"25";".";".";"67";"33";".";".";"0"
"De Horst";"BU02990009";"421";"201";"100";"0";".";".";"89";"11";".";".";"0"
"Methen";"BU02990010";"1376";"180";"79";"21";".";".";"55";"45";".";".";"0"
"Mercurion";"BU02990011";"9";".";".";".";".";".";".";".";".";".";"."
"Hengelder";"BU02990012";"19";".";".";".";".";".";".";".";".";".";"."
"Zuidspoor";"BU02990013";"51";"288";"94";"6";".";".";"82";"18";".";".";"0"
"Oud-Zevenaar";"BU02990014";"266";"260";"88";"12";".";".";"76";"24";".";".";"0"
"Ooy";"BU02990015";"384";"291";"96";"4";".";".";"84";"16";".";".";"0"
"Zevenaars Broek";"BU02990017";"44";".";"93";"7";".";".";"86";"14";".";".";"0"
"Wijk 01 Babberich";"WK029901";"1271";"220";"89";"11";".";".";"64";"36";".";".";"0"
